exp_ID,npar,subj,nblock,ntrial,nrep,cond-1,trial_type,rDV,deci-3,deci-2,deci-1,cond,deci,DV,resp,corr-1,r_map,correct,confi,RT,d1,d2,d3,d4,d5,d6,o1,o2,o3,o4,o5,o6,metad,metad_3%,metad_97%
CJ_EEG,1,s01,0,16,1,1,repeat,0.030294526903041907,1,1,1,1,1,0.01,1.0,1,45,1,0.5,1.3550791000006939,0.018591635788130167,0.3384107019456283,-0.37408479354818114,0.33586422285615825,-0.6771158051951498,0.5401011995716657,0.4,2.616,1.325,2.617,1.444,0.966,0.086,-0.345,0.51
CJ_EEG,1,s01,0,16,2,1,repeat,0.030294526903041907,1,1,1,1,1,0.01,1.0,1,45,1,0.75,1.4173243000004732,0.018591635788130167,0.3384107019456283,-0.37408479354818114,0.33586422285615825,-0.6771158051951498,0.5401011995716657,0.4,2.616,1.325,2.617,1.444,0.966,0.086,-0.345,0.51
CJ_EEG,1,s01,0,17,0,1,nonrepeat,0.00475888398200371,1,1,1,1,1,0.01,1.0,1,0,1,0.55,1.7020353999996587,0.8059723239923415,-0.2711883308536056,-0.9485517686527123,-0.1667826881853225,-0.03592172420650903,0.6450254917978302,2.28,1.857,1.591,1.898,2.763,0.646,0.086,-0.345,0.51
CJ_EEG,1,s01,0,17,1,1,nonrepeat,0.00475888398200371,1,1,1,1,1,0.01,1.0,1,45,1,0.45,4.592665699999998,0.8059723239923415,-0.2711883308536056,-0.9485517686527123,-0.1667826881853225,-0.03592172420650903,0.6450254917978302,2.28,1.857,1.591,1.898,2.763,0.646,0.086,-0.345,0.51
CJ_EEG,1,s01,0,17,2,1,nonrepeat,0.004758883982003766,1,1,1,1,1,0.01,1.0,1,45,1,0.6,2.420601899999383,0.8059723239923415,-0.27118833085360505,-0.9485517686527117,-0.16678268818532305,-0.03592172420650903,0.64502549179783,0.7092036732051032,0.28620367320510365,0.020203673205103634,0.32720367320510313,1.1922036732051033,2.2167963267948965,0.086,-0.345,0.51
CJ_EEG,1,s01,0,18,0,1,repeat,0.012814939648670457,1,1,1,0,1,-0.01,1.0,1,45,0,0.95,1.4209690000006958,-0.009419634196043414,-0.34248974535877486,0.47082761459808536,-0.9062989232474794,0.9144336257238036,-0.0501632996275686,0.389,1.829,2.564,1.534,0.819,0.373,0.086,-0.345,0.51
CJ_EEG,1,s01,0,18,1,0,repeat,0.012814939648670457,1,1,1,0,1,-0.01,1.0,0,0,0,0.9,1.2407030000003942,-0.009419634196043414,-0.34248974535877486,0.47082761459808536,-0.9062989232474794,0.9144336257238036,-0.0501632996275686,0.389,1.829,2.564,1.534,0.819,0.373,0.086,-0.345,0.51
CJ_EEG,1,s01,0,18,2,0,repeat,0.012814939648670457,1,1,1,0,1,-0.01,1.0,0,0,0,0.95,1.2992517000002408,-0.009419634196043414,-0.34248974535877486,0.47082761459808536,-0.9062989232474794,0.9144336257238036,-0.0501632996275686,0.389,1.829,2.564,1.534,0.819,0.373,0.086,-0.345,0.51
CJ_EEG,1,s01,0,19,0,0,nonrepeat,0.13139130571167826,1,1,1,1,1,0.11,1.0,0,45,1,0.6,1.7362898000001223,-0.5019273975795793,0.1830754774879386,0.6770924208451816,0.19481734251946414,0.7219385140398211,-0.48664852304275674,2.946,2.677,2.483,2.04,2.247,2.94,0.086,-0.345,0.51
CJ_EEG,1,s01,0,19,1,1,nonrepeat,0.13139130571167826,1,1,1,1,1,0.11,1.0,1,45,1,0.45,3.2291999999997643,-0.5019273975795793,0.1830754774879386,0.6770924208451816,0.19481734251946414,0.7219385140398211,-0.48664852304275674,2.946,2.677,2.483,2.04,2.247,2.94,0.086,-0.345,0.51
CJ_EEG,1,s01,0,19,2,1,nonrepeat,0.13139130571167862,1,1,1,1,1,0.11,1.0,1,45,1,0.85,3.1380958999998256,-0.5019273975795782,0.18307547748793973,0.6770924208451805,0.19481734251946414,0.7219385140398211,-0.48664852304275563,1.3752036732051032,1.106203673205103,0.912203673205104,0.4692036732051035,0.6762036732051033,1.369203673205103,0.086,-0.345,0.51
CJ_EEG,1,s01,0,20,0,1,repeat,-0.08505162210997656,1,1,1,0,1,-0.11,1.0,1,45,0,0.85,0.9546893000006094,0.31855751878774746,0.013498677609189658,-0.44434890893758794,0.04150994759336313,-0.14895733455902993,-0.2905696331535418,1.053,0.398,1.789,0.409,1.905,2.863,0.086,-0.345,0.51
CJ_EEG,1,s01,0,20,1,0,repeat,-0.08505162210997656,1,1,1,0,1,-0.11,1.0,0,0,0,0.75,1.1433595999997124,0.31855751878774746,0.013498677609189658,-0.44434890893758794,0.04150994759336313,-0.14895733455902993,-0.2905696331535418,1.053,0.398,1.789,0.409,1.905,2.863,0.086,-0.345,0.51
CJ_EEG,1,s01,0,20,2,0,repeat,-0.08505162210997656,1,1,1,0,1,-0.11,1.0,0,45,0,0.9,1.1480422000004182,0.31855751878774746,0.013498677609189658,-0.44434890893758794,0.04150994759336313,-0.14895733455902993,-0.2905696331535418,1.053,0.398,1.789,0.409,1.905,2.863,0.086,-0.345,0.51
